data_source,year,week,age_group,hsp_rate_rsv
Entire Network (RSV-NET),2018,47,75-84,0.3
Entire Network (RSV-NET),2018,48,75-84,1.6
Entire Network (RSV-NET),2018,49,75-84,0.5
Entire Network (RSV-NET),2018,50,75-84,0.9
Entire Network (RSV-NET),2018,51,75-84,1.7
Entire Network (RSV-NET),2018,52,75-84,3
Entire Network (RSV-NET),2019,1,75-84,4.6
Entire Network (RSV-NET),2019,2,75-84,4.2
Entire Network (RSV-NET),2019,3,75-84,2.7
Entire Network (RSV-NET),2019,4,75-84,2.3
Entire Network (RSV-NET),2019,5,75-84,3
Entire Network (RSV-NET),2019,6,75-84,2.7
Entire Network (RSV-NET),2019,7,75-84,2.8
Entire Network (RSV-NET),2019,8,75-84,2.4
Entire Network (RSV-NET),2019,9,75-84,2.6
Entire Network (RSV-NET),2019,10,75-84,1.2
Entire Network (RSV-NET),2019,11,75-84,1.4
Entire Network (RSV-NET),2019,12,75-84,1.7
Entire Network (RSV-NET),2019,13,75-84,1.6
Entire Network (RSV-NET),2019,14,75-84,1.5
Entire Network (RSV-NET),2019,15,75-84,0.7
Entire Network (RSV-NET),2019,16,75-84,0.9
Entire Network (RSV-NET),2019,17,75-84,0.3
Entire Network (RSV-NET),2019,18,75-84,0
Entire Network (RSV-NET),2018,40,85+,0
Entire Network (RSV-NET),2018,41,85+,0.2
Entire Network (RSV-NET),2018,42,85+,0.4
Entire Network (RSV-NET),2018,43,85+,0.4
Entire Network (RSV-NET),2018,44,85+,0.6
Entire Network (RSV-NET),2018,45,85+,0.2
Entire Network (RSV-NET),2018,46,85+,0.8
Entire Network (RSV-NET),2018,47,85+,1
Entire Network (RSV-NET),2018,48,85+,2.3
Entire Network (RSV-NET),2018,49,85+,2.5
Entire Network (RSV-NET),2018,50,85+,2.5
Entire Network (RSV-NET),2018,51,85+,4.3
Entire Network (RSV-NET),2018,52,85+,4.9
Entire Network (RSV-NET),2019,1,85+,7.8
Entire Network (RSV-NET),2019,2,85+,7.4
Entire Network (RSV-NET),2019,3,85+,4.1
Entire Network (RSV-NET),2019,4,85+,6.8
Entire Network (RSV-NET),2019,5,85+,4.7
Entire Network (RSV-NET),2019,6,85+,4.9
Entire Network (RSV-NET),2019,7,85+,5.1
Entire Network (RSV-NET),2019,8,85+,6.2
Entire Network (RSV-NET),2019,9,85+,5.1
Entire Network (RSV-NET),2019,10,85+,5.1
Entire Network (RSV-NET),2019,11,85+,3.7
Entire Network (RSV-NET),2019,12,85+,4.5
Entire Network (RSV-NET),2019,13,85+,3.9
Entire Network (RSV-NET),2019,14,85+,2.3
Entire Network (RSV-NET),2019,15,85+,1.2
Entire Network (RSV-NET),2019,16,85+,0.8
Entire Network (RSV-NET),2019,17,85+,0.6
Entire Network (RSV-NET),2019,18,85+,0.8
Entire Network (RSV-NET),2018,40,0-17,0.4
Entire Network (RSV-NET),2018,41,0-17,0.7
Entire Network (RSV-NET),2018,42,0-17,0.8
Entire Network (RSV-NET),2018,43,0-17,1
Entire Network (RSV-NET),2018,44,0-17,1
Entire Network (RSV-NET),2018,45,0-17,1.7
